page,revision,anon,comment,parentid,revid,size,timestamp,user,userid
Hillary Rodham Clinton,0,False,*,0,256189,380,2001-08-01 20:21:17,Koyaanis Qatsi,90
Hillary Rodham Clinton,1,True,*added a bit on Hillary Clinton,256189,256190,697,2001-12-07 01:58:07,152.163.197.xxx,0
Hillary Rodham Clinton,2,False,Took out the slander,256190,256191,663,2001-12-07 02:14:20,Paul Drye,6
Hillary Rodham Clinton,3,True,Automated conversion,256191,72270,877,2002-02-25 15:51:15,Conversion script,0
Hillary Rodham Clinton,4,True,*,72270,72271,920,2002-05-18 16:37:57,210.49.193.178,0
Hillary Rodham Clinton,5,True,*,72271,72370,921,2002-05-18 16:38:14,210.49.193.178,0
Hillary Rodham Clinton,6,False,"much investigated, and always exonerated; improved English",72370,112713,951,2002-05-18 17:31:33,Vicki Rosenzweig,59
Hillary Rodham Clinton,7,True,join extra material I wrote,112713,112733,2796,2002-07-07 18:50:55,136.186.1.117,0
Hillary Rodham Clinton,8,False,identified Rick Lazio; there's no &quot;al&quot; in &quot;publicly&quot;; campaigned extensively upstate,112733,112858,2893,2002-07-07 19:43:43,Vicki Rosenzweig,59
Hillary Rodham Clinton,9,True,minor copyedit,112858,56429,2944,2002-07-08 00:04:23,37.186,0
Hillary Rodham Clinton,10,True,,56429,382268,2942,2002-07-21 04:44:19,217.168.172.202,0
Hillary Rodham Clinton,11,False,,382268,622802,3056,2002-10-24 17:51:46,Montrealais,3378
Hillary Rodham Clinton,12,False,"On [[January 26]], [[1996]] she testified before a grand jury concerning the [[Whitewater scandal]]:",622802,622807,3148,2003-01-27 03:34:08,Mav,62
Hillary Rodham Clinton,13,False,fm,622807,759006,3149,2003-01-27 03:36:30,Mav,62
Hillary Rodham Clinton,14,False,,759006,759009,3211,2003-03-19 06:12:06,Susan Mason,8359
Hillary Rodham Clinton,15,False,,759009,834729,3227,2003-03-19 06:13:01,Susan Mason,8359
Hillary Rodham Clinton,16,True,"we have an article on Chelsea, so link that",834729,850688,3112,2003-04-16 01:06:16,61.9.128.172,0
Hillary Rodham Clinton,17,False,added photo,850688,850693,3274,2003-04-21 21:44:59,Vzbs34,9718
Hillary Rodham Clinton,18,False,,850693,889803,3254,2003-04-21 21:45:56,Vzbs34,9718
Hillary Rodham Clinton,19,False,corrected which party controlled Congress during health care plan debate,889803,890491,3359,2003-05-04 18:30:51,Jpcarver,4174
Hillary Rodham Clinton,20,False,fm,890491,972906,3403,2003-05-04 23:31:17,Minesweeper,7279
Hillary Rodham Clinton,21,True,,972906,972907,3594,2003-05-28 21:26:12,68.82.188.214,0
Hillary Rodham Clinton,22,True,,972907,972911,3593,2003-05-28 21:26:49,68.82.188.214,0
Hillary Rodham Clinton,23,True,,972911,972967,3601,2003-05-28 21:28:22,68.82.188.214,0
Hillary Rodham Clinton,24,False,revert to minesweeper,972967,972997,3403,2003-05-28 21:44:41,Cimon Avaro,9993
Hillary Rodham Clinton,25,False,reverting back slightly (NPOV) and info about book,972997,990180,3901,2003-05-28 21:52:14,Minesweeper,7279
Hillary Rodham Clinton,26,True,,990180,1003651,4011,2003-06-02 17:56:10,68.82.188.214,0
Hillary Rodham Clinton,27,False,"rv to last edit by Minesweeper, ""pandering"" is pov",1003651,1006204,3901,2003-06-06 06:17:02,Stan Shebs,7777
Hillary Rodham Clinton,28,True,,1006204,1006349,3935,2003-06-06 20:20:26,68.82.188.214,0
Hillary Rodham Clinton,29,False,"rv another biased statement, subst a factual version",1006349,1054537,3943,2003-06-06 21:07:05,Stan Shebs,7777
Hillary Rodham Clinton,30,False,,1054537,1140522,3982,2003-06-18 12:53:09,Robert Merkel,68
Hillary Rodham Clinton,31,False,giving her birth name,1140522,1140524,4003,2003-07-12 10:12:31,Dante Alighieri,5455
Hillary Rodham Clinton,32,False,formatting,1140524,1209718,4009,2003-07-12 10:12:55,Dante Alighieri,5455
Hillary Rodham Clinton,33,True,,1209718,1209720,4083,2003-07-28 22:21:05,162.66.50.2,0
Hillary Rodham Clinton,34,True,,1209720,1209731,4009,2003-07-28 22:21:44,162.66.50.2,0
Hillary Rodham Clinton,35,True,,1209731,1209734,4101,2003-07-28 22:26:37,162.66.50.2,0
Hillary Rodham Clinton,36,False,Reverted to last edit by Dante Alighieri,1209734,1261212,4009,2003-07-28 22:27:13,Notheruser,8494
Hillary Rodham Clinton,37,True,,1261212,1261217,4261,2003-08-08 20:02:49,68.52.178.70,0
Hillary Rodham Clinton,38,True,,1261217,1261227,4265,2003-08-08 20:03:15,68.52.178.70,0
Hillary Rodham Clinton,39,True,,1261227,1261233,4266,2003-08-08 20:04:44,68.52.178.70,0
Hillary Rodham Clinton,40,True,,1261233,1261247,4288,2003-08-08 20:05:59,24.76.63.165,0
Hillary Rodham Clinton,41,False,Reverted to last edit by 68.52.178.70,1261247,1261257,4266,2003-08-08 20:08:13,Smith03,12429
Hillary Rodham Clinton,42,False,fix run-on,1261257,1380611,4271,2003-08-08 20:09:37,Menchi,6153
Hillary Rodham Clinton,43,True,,1380611,1380612,4249,2003-09-02 07:55:41,24.67.75.110,0
Hillary Rodham Clinton,44,True,,1380612,1380615,4264,2003-09-02 07:56:28,24.67.75.110,0
Hillary Rodham Clinton,45,False,Reverted to last edit by Menchi,1380615,1381287,4271,2003-09-02 07:57:30,Mav,62
Hillary Rodham Clinton,46,False,,1381287,1465303,4500,2003-09-02 12:10:02,Fred Bauder,5190
Hillary Rodham Clinton,47,False,,1465303,1465307,4620,2003-09-22 02:34:54,BuddhaInside,20559
Hillary Rodham Clinton,48,False,completely the wrong place,1465307,1484306,4620,2003-09-22 02:36:02,BuddhaInside,20559
Hillary Rodham Clinton,49,False,,1484306,1484335,4835,2003-09-26 15:48:09,Wiwaxia,20659
Hillary Rodham Clinton,50,False,"+section for TOC, formatting",1484335,1484338,4846,2003-09-26 15:55:52,Frecklefoot,4259
Hillary Rodham Clinton,51,False,formatting,1484338,1484341,4850,2003-09-26 15:56:33,Frecklefoot,4259
Hillary Rodham Clinton,52,False,Ack! 1 more change,1484341,1505289,4850,2003-09-26 15:57:00,Frecklefoot,4259
Hillary Rodham Clinton,53,False,de:,1505289,1508481,4874,2003-09-30 12:09:49,Kurt Jansson,2009
Hillary Rodham Clinton,54,False,delink,1508481,1517219,4823,2003-10-01 01:18:43,Angela,8551
Hillary Rodham Clinton,55,False,"remove inflammatory sentence, add mention of autobiography",1517219,1534141,4836,2003-10-03 02:30:33,Robert Merkel,68
Hillary Rodham Clinton,56,False,shorten a couple of sentences,1534141,1692270,4819,2003-10-07 06:46:28,Robert Merkel,68
Hillary Rodham Clinton,57,False,[[November 7]],1692270,1748341,4833,2003-11-08 08:43:43,Mav,62
Hillary Rodham Clinton,58,True,minor changes,1748341,1779283,4832,2003-11-16 11:04:39,62.109.104.212,0
Hillary Rodham Clinton,59,False,Why should Mrs. Bush get all the credit for being the SECOND first lady with a Master's Degre? No fair! Anti-liberal bias!,1779283,1845034,4932,2003-11-20 19:57:16,Ed Poor,188
Hillary Rodham Clinton,60,False,,1845034,1846449,4953,2003-11-30 12:28:19,Minesweeper,7279
Hillary Rodham Clinton,61,False,alleged presidential ambitions,1846449,1849389,5649,2003-11-30 18:30:46,Vzbs34,9718
Hillary Rodham Clinton,62,False,Typos and minor word changes,1849389,2081437,5653,2003-12-01 02:52:23,Piha,20309
Hillary Rodham Clinton,63,False,,2081437,2081438,5667,2004-01-04 07:21:21,Jiang,10049
Hillary Rodham Clinton,64,False,,2081438,2081475,5678,2004-01-04 07:21:53,Jiang,10049
Hillary Rodham Clinton,65,True,,2081475,2081484,5674,2004-01-04 07:32:47,152.163.252.167,0
Hillary Rodham Clinton,66,True,,2081484,2320995,5680,2004-01-04 07:34:14,152.163.252.167,0
Hillary Rodham Clinton,67,False,"moved to ""Hillary_Clinton""",2320995,51944049,29,2004-01-05 01:36:30,Jiang,10049
Hillary Rodham Clinton,68,True,,51944049,2339974,5728,2004-02-06 21:38:15,68.0.173.11,0
Hillary Rodham Clinton,69,False,serving --> representing,2339974,2374271,5733,2004-02-08 23:40:30,Seth Ilys,35314
Hillary Rodham Clinton,70,True,,2374271,2405483,5737,2004-02-12 23:32:22,68.198.37.28,0
Hillary Rodham Clinton,71,False,,2405483,2405507,5676,2004-02-15 21:48:37,AmericanCentury21,35792
Hillary Rodham Clinton,72,False,,2405507,2409157,5649,2004-02-15 21:50:13,AmericanCentury21,35792
Hillary Rodham Clinton,73,False,,2409157,2413558,6086,2004-02-16 04:37:54,AmericanCentury21,35792
Hillary Rodham Clinton,74,False,,2413558,2420682,6114,2004-02-16 17:07:00,AmericanCentury21,35792
Hillary Rodham Clinton,75,False,,2420682,2420705,6063,2004-02-17 06:00:16,AmericanCentury21,35792
Hillary Rodham Clinton,76,False,,2420705,2420714,6058,2004-02-17 06:04:35,AmericanCentury21,35792
Hillary Rodham Clinton,77,False,,2420714,2420731,6070,2004-02-17 06:05:42,AmericanCentury21,35792
Hillary Rodham Clinton,78,False,,2420731,2420736,6036,2004-02-17 06:09:02,AmericanCentury21,35792
Hillary Rodham Clinton,79,False,,2420736,2420739,6040,2004-02-17 06:09:38,AmericanCentury21,35792
Hillary Rodham Clinton,80,False,,2420739,2420754,6044,2004-02-17 06:09:52,AmericanCentury21,35792
Hillary Rodham Clinton,81,False,,2420754,2420775,6301,2004-02-17 06:12:16,AmericanCentury21,35792
Hillary Rodham Clinton,82,False,,2420775,2425109,6351,2004-02-17 06:14:54,AmericanCentury21,35792
Hillary Rodham Clinton,83,False,,2425109,2425125,6494,2004-02-17 19:44:01,AmericanCentury21,35792
Hillary Rodham Clinton,84,False,,2425125,2425144,6419,2004-02-17 19:45:40,AmericanCentury21,35792
Hillary Rodham Clinton,85,False,"changed phrasing, readded text",2425144,2425151,6587,2004-02-17 19:47:07,Meelar,31618
Hillary Rodham Clinton,86,False,changed phrasing,2425151,2425164,6520,2004-02-17 19:47:15,Meelar,31618
Hillary Rodham Clinton,87,False,added note,2425164,2425198,6575,2004-02-17 19:47:50,Meelar,31618
Hillary Rodham Clinton,88,False,added NPOV header.  No whitewater? No healthcare?,2425198,2425219,6591,2004-02-17 19:50:47,Meelar,31618
Hillary Rodham Clinton,89,False,"If you feel that it is NPOV, then add stuff but dont say that it is NPOV because it doesnt have it.",2425219,2425448,6575,2004-02-17 19:53:09,AmericanCentury21,35792
Hillary Rodham Clinton,90,False,Reverted edits by ChrisDJackson to last version by Meelar,2425448,2425465,6591,2004-02-17 20:18:02,Meelar,31618
Hillary Rodham Clinton,91,False,,2425465,2425504,6575,2004-02-17 20:19:57,AmericanCentury21,35792
Hillary Rodham Clinton,92,False,Reverted edits by ChrisDJackson to last version by Meelar,2425504,2425568,6591,2004-02-17 20:24:30,Meelar,31618
Hillary Rodham Clinton,93,False,,2425568,2425605,6575,2004-02-17 20:31:06,AmericanCentury21,35792
Hillary Rodham Clinton,94,False,,2425605,2425770,11720,2004-02-17 20:34:40,AmericanCentury21,35792
Hillary Rodham Clinton,95,False,,2425770,2425832,11925,2004-02-17 20:46:14,AmericanCentury21,35792
Hillary Rodham Clinton,96,False,"There, how is that?",2425832,2425843,11990,2004-02-17 20:50:56,AmericanCentury21,35792
Hillary Rodham Clinton,97,False,,2425843,2425848,11989,2004-02-17 20:51:47,AmericanCentury21,35792
Hillary Rodham Clinton,98,False,,2425848,2425986,11999,2004-02-17 20:52:28,AmericanCentury21,35792
Hillary Rodham Clinton,99,False,Reverted edits by ChrisDJackson to last version by Meelar,2425986,2426007,6591,2004-02-17 21:43:04,Meelar,31618
Hillary Rodham Clinton,100,True,,2426007,2426024,6594,2004-02-17 21:45:28,64.132.218.4,0
Hillary Rodham Clinton,101,True,,2426024,2426033,6627,2004-02-17 21:46:27,64.132.218.4,0
Hillary Rodham Clinton,102,False,Reverted edits by 64.132.218.4 to last version by Meelar,2426033,2426037,6591,2004-02-17 21:46:54,Meelar,31618
Hillary Rodham Clinton,103,True,,2426037,2426044,6556,2004-02-17 21:47:23,64.132.218.4,0
Hillary Rodham Clinton,104,True,,2426044,2426058,6591,2004-02-17 21:47:53,64.132.218.4,0
Hillary Rodham Clinton,105,False,Reverted edits by 64.132.218.4 to last version by Meelar,2426058,2426087,6591,2004-02-17 21:48:42,Texture,31280
Hillary Rodham Clinton,106,True,,2426087,2426094,6607,2004-02-17 21:50:55,64.132.218.4,0
Hillary Rodham Clinton,107,False,Reverted edits by 64.132.218.4 to last version by Texture,2426094,2426106,6591,2004-02-17 21:51:22,Morwen,17287
Hillary Rodham Clinton,108,True,,2426106,2426112,6602,2004-02-17 21:51:58,64.132.218.4,0
Hillary Rodham Clinton,109,False,Reverted edits by 64.132.218.4 to last version by Morwen,2426112,2426138,6591,2004-02-17 21:52:09,Meelar,31618
Hillary Rodham Clinton,110,False,What the heck is your problem,2426138,2426141,12003,2004-02-17 21:54:26,AmericanCentury21,35792
Hillary Rodham Clinton,111,False,,2426141,2426211,12001,2004-02-17 21:55:04,AmericanCentury21,35792
Hillary Rodham Clinton,112,False,,2426211,2427600,12003,2004-02-17 22:02:38,AmericanCentury21,35792
Hillary Rodham Clinton,113,False,,2427600,2427602,8110,2004-02-18 00:02:32,Jiang,10049
Hillary Rodham Clinton,114,False,,2427602,2428082,8110,2004-02-18 00:03:03,Jiang,10049
Hillary Rodham Clinton,115,False,,2428082,2428087,8109,2004-02-18 00:45:57,AmericanCentury21,35792
Hillary Rodham Clinton,116,False,,2428087,2428098,8107,2004-02-18 00:46:27,AmericanCentury21,35792
Hillary Rodham Clinton,117,False,,2428098,2428141,8129,2004-02-18 00:47:56,AmericanCentury21,35792
Hillary Rodham Clinton,118,False,"MoS state, Note that when ==This is a header== is used, no blank line under the headline is needed. Extra blank lines should be removed, since formatting is an issue for the Wikipedia style sheet, not",2428141,2442163,8113,2004-02-18 00:51:37,Jiang,10049
